dataset,model,total_holding_cost,total_stockout_cost,total_cost,service_level,average_inventory,stockout_frequency,stockout_quantity,reorder_count,family
m5,ARIMA,162.6183294448006,31.978140645268972,194.59647009006957,0.8957053571428572,5.80779748017145,2.92025,25582.512516215178,10.7175,ARIMA/SARIMA
m5,CROSTON,154.53648100782658,20.276829363527348,174.81331037135394,0.9391160714285715,5.5191600359938064,1.70475,16221.463490821878,10.56375,Croston-family
m5,DES,235.34601702390557,33.458910911648026,268.8049279355536,0.8988214285714285,8.405214893710914,2.833,26767.12872931842,15.19,Smoothing
m5,LSTM,130.03685376160914,22.795822446025536,152.83267620763468,0.9282767857142857,4.644173348628898,2.00825,18236.65795682043,15.1425,LSTM
m5,Moving Average,136.30175988648992,22.523726284565917,158.82548617105584,0.9304821428571429,4.867919995946068,1.9465,18018.98102765273,10.3765,Baseline
m5,Naive,158.25129577671598,42.5014260301248,200.75272180684075,0.8716696428571429,5.651831992025571,3.59325,34001.140824099835,9.29325,Baseline
m5,SBA,128.38959585266778,32.26773927890708,160.65733513157485,0.9091875,4.585342709023849,2.54275,25814.191423125663,10.38925,Croston-family
m5,SES,138.3151357258059,20.995750219197898,159.3108859450038,0.9356964285714285,4.939826275921639,1.8005,16796.60017535832,10.5,Smoothing
m5,Seasonal Naive,170.72949476410218,21.82373098677761,192.5532257508798,0.9375,6.0974819558607924,1.75,17458.984789422087,10.15675,Baseline
m5,TES,304.27561790289775,42.3974483577094,346.67306626060713,0.8804375,10.86698635367492,3.34775,33917.95868616752,14.638,Smoothing
m5,TSB,143.53875287692549,21.589754671436662,165.12850754836217,0.9319553571428572,5.126384031318768,1.90525,17271.80373714933,10.3795,Croston-family
store_item_demand,ARIMA,1076.4753402180208,1244.3989313025195,2320.874271520541,0.5238928571428572,38.44554786492932,13.331,995519.1450420157,22.20125,ARIMA/SARIMA
store_item_demand,DES,2130.0889190203306,649.5510550604864,2779.639974080817,0.7346517857142857,76.07460425072608,7.42975,519640.8440483891,22.35675,Smoothing
store_item_demand,LSTM,1157.7036535394614,1089.759829697387,2247.4634832368483,0.5306964285714285,41.346559054980766,13.1405,871807.8637579096,23.15,LSTM
store_item_demand,Moving Average,1276.1028404951226,808.3985426825861,2084.5013831777087,0.6170803571428571,45.57510144625437,10.72175,646718.8341460689,22.75775,Baseline
store_item_demand,Naive,794.6271576566223,1905.743449980284,2700.3706076369062,0.4320625,28.37954134487937,15.90225,1524594.7599842271,20.41975,Baseline
store_item_demand,SARIMA,1307.777349469487,974.5290813012059,2282.3064307706927,0.5919107142857143,46.70633390962454,11.4265,779623.2650409647,22.7815,ARIMA/SARIMA
store_item_demand,SES,1155.5955501354028,958.2383934619124,2113.8339435973153,0.5612678571428571,41.27126964769296,12.2845,766590.7147695299,22.8535,Smoothing
store_item_demand,Seasonal Naive,1281.053625831591,847.0987367410764,2128.1523625726677,0.6195625,45.75191520827111,10.65225,677678.9893928611,23.1015,Baseline
store_item_demand,TES,2485.6452619277366,934.2342310149478,3419.8794929426845,0.6906696428571429,88.77304506884772,8.66125,747387.3848119582,22.057,Smoothing
