dataset,model,lead_time,service_target,z,P,H,total_cost,holding_cost,shortage_cost,service_level,stockout_rate,avg_inventory,reorder_count,n_instances
store_item_demand,SES,3,0.9,1.2816,5,1,2028.108914653104,207.7567941971916,1820.3521204559124,0.3055267857142857,0.6944732142857143,7.419885507042557,26.31925,4000
store_item_demand,Seasonal Naive,3,0.9,1.2816,5,1,1968.9594930292756,247.43076378664043,1721.5287292426349,0.3820178571428571,0.6179821428571428,8.836812992380015,26.08825,4000
store_item_demand,TES,3,0.9,1.2816,5,1,2116.383051884434,601.7317994544374,1514.6512524299962,0.4991428571428571,0.5008571428571428,21.49042140908705,26.047,4000
m5,ARIMA,3,0.9,1.2816,10,1,153.13302379627297,72.87132030785617,80.26170348841681,0.8543839285714284,0.1456160714285714,2.602547153852006,12.11025,4000
m5,CROSTON,3,0.9,1.2816,10,1,136.46789178515138,70.41711614918395,66.05077563596744,0.8850982142857142,0.1149017857142857,2.514897005327998,11.5425,4000
m5,DES,3,0.9,1.2816,10,1,186.431047196226,108.05692938543665,78.37411781078939,0.8656428571428572,0.1343571428571428,3.85917604947988,17.35575,4000
m5,LSTM,3,0.9,1.2816,10,1,132.51249803371977,60.8362151735836,71.67628286013615,0.8690714285714286,0.1309285714285714,2.172721970485129,16.74375,4000
m5,Moving Average,3,0.9,1.2816,10,1,132.0525622764671,62.9446672396808,69.10789503678633,0.8792857142857142,0.1207142857142857,2.2480238299886,11.422,4000
m5,Naive,3,0.9,1.2816,10,1,168.93512384865844,71.09399830693252,97.8411255417259,0.8382142857142857,0.1617857142857142,2.5390713681047328,10.62625,4000
m5,SBA,3,0.9,1.2816,10,1,147.45682836067843,60.091721134053614,87.3651072266248,0.8580803571428571,0.1419196428571428,2.146132897644772,11.38325,4000
m5,SES,3,0.9,1.2816,10,1,130.4217293799624,63.77897417487124,66.64275520509118,0.8825892857142855,0.1174107142857142,2.2778205062454013,11.47975,4000
m5,Seasonal Naive,3,0.9,1.2816,10,1,155.83049921723898,94.95293834311384,60.877560874125166,0.9040803571428572,0.0959196428571428,3.3911763693969226,10.03575,4000
m5,TES,3,0.9,1.2816,10,1,235.0670362837575,143.61962692392024,91.44740935983728,0.8549017857142857,0.1450982142857143,5.129272390140009,14.9285,4000
m5,TSB,3,0.9,1.2816,10,1,132.30944341515044,65.70430657952677,66.60513683562368,0.8820357142857144,0.1179642857142857,2.346582377840241,11.398,4000
store_item_demand,ARIMA,3,0.9,1.2816,10,1,4367.183399579658,192.43435840746503,4174.749041172194,0.2729017857142857,0.7270982142857143,6.872655657409466,26.41725,4000
store_item_demand,DES,3,0.9,1.2816,10,1,3060.5924221659407,454.8012392372575,2605.7911829286827,0.4919196428571428,0.5080803571428572,16.242901401330624,26.29225,4000
store_item_demand,LSTM,3,0.9,1.2816,10,1,4151.276728020442,201.54602608664945,3949.730701933792,0.3066607142857142,0.6933392857142857,7.198072360237479,26.0205,4000
store_item_demand,Moving Average,3,0.9,1.2816,10,1,3573.09823889199,232.7615003171604,3340.3367385748297,0.3405446428571428,0.6594553571428571,8.312910725612873,26.27075,4000
store_item_demand,Naive,3,0.9,1.2816,10,1,5631.286671503881,134.95168958322918,5496.3349819206505,0.2179464285714286,0.7820535714285715,4.819703199401041,26.1595,4000
store_item_demand,SARIMA,3,0.9,1.2816,10,1,3899.956355146592,224.97043161236564,3674.985923534226,0.3350625,0.6649375,8.0346582718702,26.0275,4000
store_item_demand,SES,3,0.9,1.2816,10,1,3848.461035109016,207.7567941971916,3640.704240911825,0.3055267857142857,0.6944732142857143,7.419885507042557,26.31925,4000
store_item_demand,Seasonal Naive,3,0.9,1.2816,10,1,3690.4882222719098,247.43076378664043,3443.0574584852698,0.3820178571428571,0.6179821428571428,8.836812992380015,26.08825,4000
store_item_demand,TES,3,0.9,1.2816,10,1,3631.034304314429,601.7317994544374,3029.3025048599925,0.4991428571428571,0.5008571428571428,21.49042140908705,26.047,4000
m5,ARIMA,3,0.95,1.6449,3,1,104.3123972463334,85.20309734798748,19.109299898345892,0.8813928571428571,0.1186071428571428,3.042967762428125,12.40175,4000
m5,CROSTON,3,0.95,1.6449,3,1,98.46410142227928,83.30017200906396,15.16392941321533,0.910375,0.089625,2.975006143180855,11.7595,4000
m5,DES,3,0.95,1.6449,3,1,142.10095239887534,123.11471815262952,18.986234246245825,0.8905267857142858,0.1094732142857142,4.396954219736768,17.688,4000
m5,LSTM,3,0.95,1.6449,3,1,89.94830930863328,73.31423196420702,16.634077344426256,0.8973035714285713,0.1026964285714285,2.618365427293108,16.968,4000
m5,Moving Average,3,0.95,1.6449,3,1,91.57371238737552,75.6119964306569,15.961715956718589,0.9043928571428572,0.0956071428571428,2.7004284439520325,11.655,4000
m5,Naive,3,0.95,1.6449,3,1,106.52680118845647,82.68957640240755,23.83722478604892,0.8654553571428572,0.1345446428571428,2.953199157228841,11.018,4000
m5,SBA,3,0.95,1.6449,3,1,92.78771899041828,71.99494704533905,20.792771945079227,0.8858571428571429,0.1141428571428571,2.571248108762109,11.6425,4000
m5,SES,3,0.95,1.6449,3,1,91.92506712620477,76.59591899381354,15.329148132391223,0.9088303571428572,0.0911696428571428,2.73556853549334,11.70825,4000
m5,Seasonal Naive,3,0.95,1.6449,3,1,127.6544231733632,113.65413201958796,14.00029115377524,0.9257767857142856,0.0742232142857143,4.059076143556712,10.242,4000
m5,TES,3,0.95,1.6449,3,1,183.81127728990745,161.1138562205016,22.697421069405863,0.87925,0.12075,5.754066293589342,15.26225,4000
m5,TSB,3,0.95,1.6449,3,1,93.91911427056756,78.54819009837065,15.37092417219688,0.9079821428571428,0.0920178571428571,2.805292503513238,11.644,4000
store_item_demand,ARIMA,3,0.95,1.6449,3,1,1324.9974920473048,201.9997971824819,1122.997694864823,0.30125,0.6987500000000001,7.214278470802925,26.47625,4000
store_item_demand,DES,3,0.95,1.6449,3,1,1188.7307215551073,509.4911295748024,679.239591980305,0.5319642857142858,0.4680357142857143,18.196111770528653,26.353,4000
store_item_demand,LSTM,3,0.95,1.6449,3,1,1293.749280387357,205.20176156045665,1088.5475188269002,0.3222857142857143,0.6777142857142857,7.32863434144488,26.20425,4000
store_item_demand,Moving Average,3,0.95,1.6449,3,1,1129.133461533836,248.57445498860756,880.5590065452284,0.3811428571428571,0.6188571428571429,8.877659106735983,26.3535,4000
store_item_demand,Naive,3,0.95,1.6449,3,1,1652.2320016473714,138.9608542774953,1513.2711473698762,0.2325892857142857,0.7674107142857143,4.962887652767689,26.19575,4000
store_item_demand,SARIMA,3,0.95,1.6449,3,1,1242.0325452605157,232.38721228122608,1009.6453329792896,0.3557946428571429,0.6442053571428571,8.299543295758074,26.19275,4000
store_item_demand,SES,3,0.95,1.6449,3,1,1183.1056944969948,217.94013071188704,965.1655637851078,0.3395089285714285,0.6604910714285713,7.783576096853108,26.394,4000
store_item_demand,Seasonal Naive,3,0.95,1.6449,3,1,1182.529664963827,263.42035975772177,919.1093052061052,0.4159821428571429,0.5840178571428571,9.407869991347203,26.26875,4000
store_item_demand,TES,3,0.95,1.6449,3,1,1481.789609800583,662.5812690813963,819.2083407191867,0.5231339285714286,0.4768660714285714,23.66361675290701,26.22625,4000
m5,ARIMA,3,0.95,1.6449,5,1,117.05193051189733,85.20309734798748,31.848833163909823,0.8813928571428571,0.1186071428571428,3.042967762428125,12.40175,4000
m5,CROSTON,3,0.95,1.6449,5,1,108.57338769775616,83.30017200906396,25.27321568869222,0.910375,0.089625,2.975006143180855,11.7595,4000
m5,DES,3,0.95,1.6449,5,1,154.75844189637257,123.11471815262952,31.64372374374304,0.8905267857142858,0.1094732142857142,4.396954219736768,17.688,4000
m5,LSTM,3,0.95,1.6449,5,1,101.03769420491744,73.31423196420702,27.723462240710425,0.8973035714285713,0.1026964285714285,2.618365427293108,16.968,4000
m5,Moving Average,3,0.95,1.6449,5,1,102.21485635852125,75.6119964306569,26.60285992786432,0.9043928571428572,0.0956071428571428,2.7004284439520325,11.655,4000
m5,Naive,3,0.95,1.6449,5,1,122.41828437915576,82.68957640240755,39.72870797674821,0.8654553571428572,0.1345446428571428,2.953199157228841,11.018,4000
m5,SBA,3,0.95,1.6449,5,1,106.64956695380444,71.99494704533905,34.65461990846538,0.8858571428571429,0.1141428571428571,2.571248108762109,11.6425,4000
m5,SES,3,0.95,1.6449,5,1,102.14449921446555,76.59591899381354,25.548580220652045,0.9088303571428572,0.0911696428571428,2.73556853549334,11.70825,4000
m5,Seasonal Naive,3,0.95,1.6449,5,1,136.98795060921336,113.65413201958796,23.3338185896254,0.9257767857142856,0.0742232142857143,4.059076143556712,10.242,4000
m5,TES,3,0.95,1.6449,5,1,198.94289133617804,161.1138562205016,37.82903511567645,0.87925,0.12075,5.754066293589342,15.26225,4000
m5,TSB,3,0.95,1.6449,5,1,104.16639705203212,78.54819009837065,25.618206953661463,0.9079821428571428,0.0920178571428571,2.805292503513238,11.644,4000
store_item_demand,ARIMA,3,0.95,1.6449,5,1,2073.6626219571867,201.9997971824819,1871.6628247747049,0.30125,0.6987500000000001,7.214278470802925,26.47625,4000
store_item_demand,DES,3,0.95,1.6449,5,1,1641.5571162086442,509.4911295748024,1132.065986633842,0.5319642857142858,0.4680357142857143,18.196111770528653,26.353,4000
store_item_demand,LSTM,3,0.95,1.6449,5,1,2019.4476262719568,205.20176156045665,1814.2458647115,0.3222857142857143,0.6777142857142857,7.32863434144488,26.20425,4000
store_item_demand,Moving Average,3,0.95,1.6449,5,1,1716.1727992306548,248.57445498860756,1467.5983442420472,0.3811428571428571,0.6188571428571429,8.877659106735983,26.3535,4000
store_item_demand,Naive,3,0.95,1.6449,5,1,2661.079433227289,138.9608542774953,2522.1185789497936,0.2325892857142857,0.7674107142857143,4.962887652767689,26.19575,4000
store_item_demand,SARIMA,3,0.95,1.6449,5,1,1915.1294339133756,232.38721228122608,1682.7422216321493,0.3557946428571429,0.6442053571428571,8.299543295758074,26.19275,4000
store_item_demand,SES,3,0.95,1.6449,5,1,1826.5494036870664,217.94013071188704,1608.6092729751797,0.3395089285714285,0.6604910714285713,7.783576096853108,26.394,4000
store_item_demand,Seasonal Naive,3,0.95,1.6449,5,1,1795.2692017678974,263.42035975772177,1531.8488420101753,0.4159821428571429,0.5840178571428571,9.407869991347203,26.26875,4000
store_item_demand,TES,3,0.95,1.6449,5,1,2027.9285036133745,662.5812690813963,1365.3472345319776,0.5231339285714286,0.4768660714285714,23.66361675290701,26.22625,4000
m5,ARIMA,3,0.95,1.6449,10,1,148.90076367580716,85.20309734798748,63.69766632781965,0.8813928571428571,0.1186071428571428,3.042967762428125,12.40175,4000
m5,CROSTON,3,0.95,1.6449,10,1,133.8466033864484,83.30017200906396,50.54643137738444,0.910375,0.089625,2.975006143180855,11.7595,4000
m5,DES,3,0.95,1.6449,10,1,186.4021656401156,123.11471815262952,63.28744748748608,0.8905267857142858,0.1094732142857142,4.396954219736768,17.688,4000
m5,LSTM,3,0.95,1.6449,10,1,128.76115644562788,73.31423196420702,55.44692448142085,0.8973035714285713,0.1026964285714285,2.618365427293108,16.968,4000
m5,Moving Average,3,0.95,1.6449,10,1,128.81771628638555,75.6119964306569,53.20571985572863,0.9043928571428572,0.0956071428571428,2.7004284439520325,11.655,4000
m5,Naive,3,0.95,1.6449,10,1,162.14699235590396,82.68957640240755,79.45741595349642,0.8654553571428572,0.1345446428571428,2.953199157228841,11.018,4000
m5,SBA,3,0.95,1.6449,10,1,141.30418686226983,71.99494704533905,69.30923981693076,0.8858571428571429,0.1141428571428571,2.571248108762109,11.6425,4000
m5,SES,3,0.95,1.6449,10,1,127.6930794351176,76.59591899381354,51.09716044130409,0.9088303571428572,0.0911696428571428,2.73556853549334,11.70825,4000
m5,Seasonal Naive,3,0.95,1.6449,10,1,160.32176919883878,113.65413201958796,46.6676371792508,0.9257767857142856,0.0742232142857143,4.059076143556712,10.242,4000
m5,TES,3,0.95,1.6449,10,1,236.77192645185443,161.1138562205016,75.6580702313529,0.87925,0.12075,5.754066293589342,15.26225,4000
m5,TSB,3,0.95,1.6449,10,1,129.7846040056936,78.54819009837065,51.23641390732293,0.9079821428571428,0.0920178571428571,2.805292503513238,11.644,4000
store_item_demand,ARIMA,3,0.95,1.6449,10,1,3945.325446731892,201.9997971824819,3743.3256495494097,0.30125,0.6987500000000001,7.214278470802925,26.47625,4000
store_item_demand,DES,3,0.95,1.6449,10,1,2773.623102842486,509.4911295748024,2264.131973267684,0.5319642857142858,0.4680357142857143,18.196111770528653,26.353,4000
store_item_demand,LSTM,3,0.95,1.6449,10,1,3833.6934909834567,205.20176156045665,3628.491729423,0.3222857142857143,0.6777142857142857,7.32863434144488,26.20425,4000
store_item_demand,Moving Average,3,0.95,1.6449,10,1,3183.771143472702,248.57445498860756,2935.1966884840945,0.3811428571428571,0.6188571428571429,8.877659106735983,26.3535,4000
store_item_demand,Naive,3,0.95,1.6449,10,1,5183.198012177084,138.9608542774953,5044.237157899587,0.2325892857142857,0.7674107142857143,4.962887652767689,26.19575,4000
store_item_demand,SARIMA,3,0.95,1.6449,10,1,3597.8716555455244,232.38721228122608,3365.4844432642985,0.3557946428571429,0.6442053571428571,8.299543295758074,26.19275,4000
store_item_demand,SES,3,0.95,1.6449,10,1,3435.1586766622463,217.94013071188704,3217.2185459503594,0.3395089285714285,0.6604910714285713,7.783576096853108,26.394,4000
store_item_demand,Seasonal Naive,3,0.95,1.6449,10,1,3327.1180437780727,263.42035975772177,3063.6976840203506,0.4159821428571429,0.5840178571428571,9.407869991347203,26.26875,4000
store_item_demand,TES,3,0.95,1.6449,10,1,3393.275738145352,662.5812690813963,2730.6944690639552,0.5231339285714286,0.4768660714285714,23.66361675290701,26.22625,4000
m5,ARIMA,3,0.99,2.3263,3,1,123.3220616391117,111.29774884211234,12.02431279699934,0.9247946428571427,0.0752053571428571,3.974919601504012,12.793,4000
m5,CROSTON,3,0.99,2.3263,3,1,119.61529172917837,110.66960357908184,8.945688150096478,0.947375,0.052625,3.952485842110068,11.98275,4000
m5,DES,3,0.99,2.3263,3,1,166.13565947375994,153.80346345966922,12.332196014090744,0.9273928571428572,0.0726071428571428,5.492980837845328,18.06825,4000
m5,LSTM,3,0.99,2.3263,3,1,109.79668334342124,99.85274400178014,9.943939341641068,0.9381517857142856,0.0618482142857142,3.566169428635005,17.20175,4000
m5,Moving Average,3,0.99,2.3263,3,1,111.99880023982524,102.5232260925102,9.47557414731505,0.9431696428571428,0.0568303571428571,3.661543789018221,11.9185,4000
m5,Naive,3,0.99,2.3263,3,1,122.9363072425744,107.322247099182,15.6140601433924,0.9111071428571428,0.0888928571428571,3.832937396399357,11.52075,4000
m5,SBA,3,0.99,2.3263,3,1,110.33647649913426,97.36342021612066,12.973056283013612,0.9286964285714284,0.0713035714285714,3.4772650077185947,11.93225,4000
m5,SES,3,0.99,2.3263,3,1,112.8046472302702,103.76406065849052,9.040586571779675,0.9461964285714284,0.0538035714285714,3.705859309231805,11.94975,4000
m5,Seasonal Naive,3,0.99,2.3263,3,1,161.0973479145479,152.42967478514456,8.667673129403287,0.9551696428571428,0.0448303571428571,5.443916956612307,10.51425,4000
m5,TES,3,0.99,2.3263,3,1,211.95481231296165,196.34913489328684,15.605677419674764,0.9171607142857142,0.0828392857142857,7.012469103331674,15.65825,4000
m5,TSB,3,0.99,2.3263,3,1,114.74668793780366,105.67748751269912,9.069200425104553,0.9444910714285714,0.0555089285714285,3.774195982596397,11.909,4000
store_item_demand,ARIMA,3,0.99,2.3263,3,1,1130.358264966664,234.92986870499263,895.4283962616713,0.378625,0.6213749999999999,8.39035245374974,26.71925,4000
store_item_demand,DES,3,0.99,2.3263,3,1,1147.6271271194482,638.486172172902,509.14095494654606,0.6177857142857143,0.3822142857142857,22.803077577603645,26.5295,4000
store_item_demand,LSTM,3,0.99,2.3263,3,1,1128.5709082432702,216.519721251906,912.0511869913644,0.3631964285714285,0.6368035714285715,7.73284718756807,26.301,4000
store_item_demand,Moving Average,3,0.99,2.3263,3,1,970.576341032802,299.08623164180307,671.4901093909987,0.4777857142857142,0.5222142857142857,10.681651130064392,26.59775,4000
store_item_demand,Naive,3,0.99,2.3263,3,1,1425.1870514354327,155.58478858969096,1269.6022628457415,0.2860892857142857,0.7139107142857143,5.556599592488963,26.3755,4000
store_item_demand,SARIMA,3,0.99,2.3263,3,1,1094.6969534456362,253.26719802982447,841.4297554158117,0.4044910714285714,0.5955089285714286,9.045257072493731,26.3155,4000
store_item_demand,SES,3,0.99,2.3263,3,1,1000.8515383046418,255.6356620722678,745.2158762323741,0.4304196428571428,0.5695803571428572,9.129845074009564,26.66225,4000
store_item_demand,Seasonal Naive,3,0.99,2.3263,3,1,1026.8150102614732,308.9066894667535,717.9083207947199,0.4937410714285714,0.5062589285714286,11.032381766669769,26.46675,4000
store_item_demand,TES,3,0.99,2.3263,3,1,1456.50588341279,793.702306806609,662.8035766061812,0.5739285714285715,0.4260714285714285,28.346510957378893,26.3815,4000
m5,ARIMA,3,0.99,2.3263,5,1,131.3382701704446,111.29774884211234,20.04052132833223,0.9247946428571427,0.0752053571428571,3.974919601504012,12.793,4000
m5,CROSTON,3,0.99,2.3263,5,1,125.57908382924266,110.66960357908184,14.909480250160795,0.947375,0.052625,3.952485842110068,11.98275,4000
m5,DES,3,0.99,2.3263,5,1,174.35712348315377,153.80346345966922,20.55366002348457,0.9273928571428572,0.0726071428571428,5.492980837845328,18.06825,4000
m5,LSTM,3,0.99,2.3263,5,1,116.4259762378486,99.85274400178014,16.573232236068446,0.9381517857142856,0.0618482142857142,3.566169428635005,17.20175,4000
m5,Moving Average,3,0.99,2.3263,5,1,118.3158496713686,102.5232260925102,15.792623578858416,0.9431696428571428,0.0568303571428571,3.661543789018221,11.9185,4000
m5,Naive,3,0.99,2.3263,5,1,133.34568067150266,107.322247099182,26.023433572320663,0.9111071428571428,0.0888928571428571,3.832937396399357,11.52075,4000
m5,SBA,3,0.99,2.3263,5,1,118.98518068781,97.36342021612066,21.62176047168936,0.9286964285714284,0.0713035714285714,3.4772650077185947,11.93225,4000
m5,SES,3,0.99,2.3263,5,1,118.83170494479,103.76406065849052,15.067644286299462,0.9461964285714284,0.0538035714285714,3.705859309231805,11.94975,4000
m5,Seasonal Naive,3,0.99,2.3263,5,1,166.8757966674834,152.42967478514456,14.446121882338812,0.9551696428571428,0.0448303571428571,5.443916956612307,10.51425,4000
m5,TES,3,0.99,2.3263,5,1,222.35859725941148,196.34913489328684,26.00946236612461,0.9171607142857142,0.0828392857142857,7.012469103331674,15.65825,4000
m5,TSB,3,0.99,2.3263,5,1,120.79282155454,105.67748751269912,15.11533404184092,0.9444910714285714,0.0555089285714285,3.774195982596397,11.909,4000
store_item_demand,ARIMA,3,0.99,2.3263,5,1,1727.3105291411118,234.92986870499263,1492.380660436119,0.378625,0.6213749999999999,8.39035245374974,26.71925,4000
store_item_demand,DES,3,0.99,2.3263,5,1,1487.0544304171456,638.486172172902,848.5682582442435,0.6177857142857143,0.3822142857142857,22.803077577603645,26.5295,4000
store_item_demand,LSTM,3,0.99,2.3263,5,1,1736.6050329041798,216.519721251906,1520.085311652274,0.3631964285714285,0.6368035714285715,7.73284718756807,26.301,4000
store_item_demand,Moving Average,3,0.99,2.3263,5,1,1418.2364139601343,299.08623164180307,1119.1501823183312,0.4777857142857142,0.5222142857142857,10.681651130064392,26.59775,4000
store_item_demand,Naive,3,0.99,2.3263,5,1,2271.5885599992607,155.58478858969096,2116.0037714095693,0.2860892857142857,0.7139107142857143,5.556599592488963,26.3755,4000
store_item_demand,SARIMA,3,0.99,2.3263,5,1,1655.650123722844,253.26719802982447,1402.3829256930196,0.4044910714285714,0.5955089285714286,9.045257072493731,26.3155,4000
store_item_demand,SES,3,0.99,2.3263,5,1,1497.6621224595578,255.6356620722678,1242.02646038729,0.4304196428571428,0.5695803571428572,9.129845074009564,26.66225,4000
store_item_demand,Seasonal Naive,3,0.99,2.3263,5,1,1505.4205574579532,308.9066894667535,1196.5138679911995,0.4937410714285714,0.5062589285714286,11.032381766669769,26.46675,4000
store_item_demand,TES,3,0.99,2.3263,5,1,1898.3749344835776,793.702306806609,1104.6726276769684,0.5739285714285715,0.4260714285714285,28.346510957378893,26.3815,4000
m5,ARIMA,3,0.99,2.3263,10,1,151.37879149877682,111.29774884211234,40.08104265666446,0.9247946428571427,0.0752053571428571,3.974919601504012,12.793,4000
m5,CROSTON,3,0.99,2.3263,10,1,140.48856407940346,110.66960357908184,29.81896050032159,0.947375,0.052625,3.952485842110068,11.98275,4000
m5,DES,3,0.99,2.3263,10,1,194.91078350663832,153.80346345966922,41.10732004696914,0.9273928571428572,0.0726071428571428,5.492980837845328,18.06825,4000
m5,LSTM,3,0.99,2.3263,10,1,132.99920847391704,99.85274400178014,33.14646447213689,0.9381517857142856,0.0618482142857142,3.566169428635005,17.20175,4000
m5,Moving Average,3,0.99,2.3263,10,1,134.108473250227,102.5232260925102,31.585247157716832,0.9431696428571428,0.0568303571428571,3.661543789018221,11.9185,4000
m5,Naive,3,0.99,2.3263,10,1,159.3691142438233,107.322247099182,52.046867144641325,0.9111071428571428,0.0888928571428571,3.832937396399357,11.52075,4000
m5,SBA,3,0.99,2.3263,10,1,140.60694115949937,97.36342021612066,43.24352094337871,0.9286964285714284,0.0713035714285714,3.4772650077185947,11.93225,4000
