metric_id,dataset,model,metric,value,units,population,source_file,source_column,status,report_section,destination,notes
FC-m5-TSB-sMAPE,m5,TSB,sMAPE,146.311894,pct,500sx8ox28d=112000,06_results/croston/metrics_by_model.csv,sMAPE,FINAL,4.2/4.3,T-03,
FC-m5-TSB-WAPE,m5,TSB,WAPE,0.788886,ratio,500sx8ox28d=112000,06_results/croston/metrics_by_model.csv,WAPE,FINAL,4.2/4.3,T-03,"per-series-mean; WAPE honest-NaN, no epsilon"
FC-m5-SBA-MAE,m5,SBA,MAE,1.066475,units,500sx8ox28d=112000,06_results/croston/metrics_by_model.csv,MAE,FINAL,4.2/4.3,T-03,
FC-m5-SBA-RMSE,m5,SBA,RMSE,2.121016,units,500sx8ox28d=112000,06_results/croston/metrics_by_model.csv,RMSE,FINAL,4.2/4.3,T-03,
FC-m5-SBA-sMAPE,m5,SBA,sMAPE,148.076389,pct,500sx8ox28d=112000,06_results/croston/metrics_by_model.csv,sMAPE,FINAL,4.2/4.3,T-03,
FC-m5-SBA-WAPE,m5,SBA,WAPE,0.833213,ratio,500sx8ox28d=112000,06_results/croston/metrics_by_model.csv,WAPE,FINAL,4.2/4.3,T-03,"per-series-mean; WAPE honest-NaN, no epsilon"
FC-m5-CROSTON-MAE,m5,CROSTON,MAE,1.082101,units,500sx8ox28d=112000,06_results/croston/metrics_by_model.csv,MAE,FINAL,4.2/4.3,T-03,
FC-m5-CROSTON-RMSE,m5,CROSTON,RMSE,2.107916,units,500sx8ox28d=112000,06_results/croston/metrics_by_model.csv,RMSE,FINAL,4.2/4.3,T-03,
FC-m5-CROSTON-sMAPE,m5,CROSTON,sMAPE,143.916349,pct,500sx8ox28d=112000,06_results/croston/metrics_by_model.csv,sMAPE,FINAL,4.2/4.3,T-03,
FC-m5-CROSTON-WAPE,m5,CROSTON,WAPE,0.845421,ratio,500sx8ox28d=112000,06_results/croston/metrics_by_model.csv,WAPE,FINAL,4.2/4.3,T-03,"per-series-mean; WAPE honest-NaN, no epsilon"
FC-m5-ARIMA-MAE,m5,ARIMA,MAE,1.132419,units,500sx8ox28d=112000,06_results/arima/metrics_by_model.csv,MAE,FINAL,4.2/4.3,T-03,
FC-m5-ARIMA-RMSE,m5,ARIMA,RMSE,2.316913,units,500sx8ox28d=112000,06_results/arima/metrics_by_model.csv,RMSE,FINAL,4.2/4.3,T-03,
FC-m5-ARIMA-sMAPE,m5,ARIMA,sMAPE,139.016953,pct,500sx8ox28d=112000,06_results/arima/metrics_by_model.csv,sMAPE,FINAL,4.2/4.3,T-03,
FC-m5-ARIMA-WAPE,m5,ARIMA,WAPE,0.884733,ratio,500sx8ox28d=112000,06_results/arima/metrics_by_model.csv,WAPE,FINAL,4.2/4.3,T-03,"per-series-mean; WAPE honest-NaN, no epsilon"
FC-store_item_demand-SARIMA-MAE,store_item_demand,SARIMA,MAE,8.446401,units,500sx8ox28d=112000,06_results/arima/metrics_by_model.csv,MAE,FINAL,4.2/4.3,T-04,
FC-store_item_demand-SARIMA-RMSE,store_item_demand,SARIMA,RMSE,11.094367,units,500sx8ox28d=112000,06_results/arima/metrics_by_model.csv,RMSE,FINAL,4.2/4.3,T-04,
FC-store_item_demand-SARIMA-sMAPE,store_item_demand,SARIMA,sMAPE,16.854782,pct,500sx8ox28d=112000,06_results/arima/metrics_by_model.csv,sMAPE,FINAL,4.2/4.3,T-04,
FC-store_item_demand-SARIMA-WAPE,store_item_demand,SARIMA,WAPE,0.147676,ratio,500sx8ox28d=112000,06_results/arima/metrics_by_model.csv,WAPE,FINAL,4.2/4.3,T-04,"per-series-mean; WAPE honest-NaN, no epsilon"
FC-store_item_demand-ARIMA-MAE,store_item_demand,ARIMA,MAE,11.899612,units,500sx8ox28d=112000,06_results/arima/metrics_by_model.csv,MAE,FINAL,4.2/4.3,T-04,
FC-store_item_demand-ARIMA-RMSE,store_item_demand,ARIMA,RMSE,15.981305,units,500sx8ox28d=112000,06_results/arima/metrics_by_model.csv,RMSE,FINAL,4.2/4.3,T-04,
FC-store_item_demand-ARIMA-sMAPE,store_item_demand,ARIMA,sMAPE,22.981537,pct,500sx8ox28d=112000,06_results/arima/metrics_by_model.csv,sMAPE,FINAL,4.2/4.3,T-04,
FC-store_item_demand-ARIMA-WAPE,store_item_demand,ARIMA,WAPE,0.208052,ratio,500sx8ox28d=112000,06_results/arima/metrics_by_model.csv,WAPE,FINAL,4.2/4.3,T-04,"per-series-mean; WAPE honest-NaN, no epsilon"
FC-m5-LSTM-MAE,m5,LSTM,MAE,0.989163,units,500sx8ox28d=112000,06_results/lstm/metrics_by_model.csv,MAE,FINAL,4.2/4.3,T-03,
FC-m5-LSTM-RMSE,m5,LSTM,RMSE,1.949084,units,500sx8ox28d=112000,06_results/lstm/metrics_by_model.csv,RMSE,FINAL,4.2/4.3,T-03,
FC-m5-LSTM-sMAPE,m5,LSTM,sMAPE,144.242078,pct,500sx8ox28d=112000,06_results/lstm/metrics_by_model.csv,sMAPE,FINAL,4.2/4.3,T-03,
FC-m5-LSTM-WAPE,m5,LSTM,WAPE,0.77281,ratio,500sx8ox28d=112000,06_results/lstm/metrics_by_model.csv,WAPE,FINAL,4.2/4.3,T-03,"per-series-mean; WAPE honest-NaN, no epsilon"
