metric_id,dataset,model,metric,value,units,population,source_file,source_column,status,report_section,destination,notes
INV-store_item_demand-LSTM-cost,store_item_demand,LSTM,total_cost,2247.463483,cost-units,4000 series-origins,06_results/inventory/inventory_by_model.csv,total_cost,FINAL,4.8,T-07,POLICY_DEFAULT L7/95%/H1/P5; hold=1157.70 short=1089.76
INV-store_item_demand-LSTM-sl,store_item_demand,LSTM,service_level,0.530696,fraction,4000 series-origins,06_results/inventory/inventory_by_model.csv,service_level,FINAL,4.8,T-07,avg_inv=41.35 reorders=23.15
INV-store_item_demand-Moving Average-cost,store_item_demand,Moving Average,total_cost,2084.501383,cost-units,4000 series-origins,06_results/inventory/inventory_by_model.csv,total_cost,FINAL,4.8,T-07,POLICY_DEFAULT L7/95%/H1/P5; hold=1276.10 short=808.40
INV-store_item_demand-Moving Average-sl,store_item_demand,Moving Average,service_level,0.61708,fraction,4000 series-origins,06_results/inventory/inventory_by_model.csv,service_level,FINAL,4.8,T-07,avg_inv=45.58 reorders=22.76
INV-store_item_demand-Naive-cost,store_item_demand,Naive,total_cost,2700.370608,cost-units,4000 series-origins,06_results/inventory/inventory_by_model.csv,total_cost,FINAL,4.8,T-07,POLICY_DEFAULT L7/95%/H1/P5; hold=794.63 short=1905.74
INV-store_item_demand-Naive-sl,store_item_demand,Naive,service_level,0.432063,fraction,4000 series-origins,06_results/inventory/inventory_by_model.csv,service_level,FINAL,4.8,T-07,avg_inv=28.38 reorders=20.42
INV-store_item_demand-SARIMA-cost,store_item_demand,SARIMA,total_cost,2282.306431,cost-units,4000 series-origins,06_results/inventory/inventory_by_model.csv,total_cost,FINAL,4.8,T-07,POLICY_DEFAULT L7/95%/H1/P5; hold=1307.78 short=974.53
INV-store_item_demand-SARIMA-sl,store_item_demand,SARIMA,service_level,0.591911,fraction,4000 series-origins,06_results/inventory/inventory_by_model.csv,service_level,FINAL,4.8,T-07,avg_inv=46.71 reorders=22.78
INV-store_item_demand-SES-cost,store_item_demand,SES,total_cost,2113.833944,cost-units,4000 series-origins,06_results/inventory/inventory_by_model.csv,total_cost,FINAL,4.8,T-07,POLICY_DEFAULT L7/95%/H1/P5; hold=1155.60 short=958.24
INV-store_item_demand-SES-sl,store_item_demand,SES,service_level,0.561268,fraction,4000 series-origins,06_results/inventory/inventory_by_model.csv,service_level,FINAL,4.8,T-07,avg_inv=41.27 reorders=22.85
INV-store_item_demand-Seasonal Naive-cost,store_item_demand,Seasonal Naive,total_cost,2128.152363,cost-units,4000 series-origins,06_results/inventory/inventory_by_model.csv,total_cost,FINAL,4.8,T-07,POLICY_DEFAULT L7/95%/H1/P5; hold=1281.05 short=847.10
INV-store_item_demand-Seasonal Naive-sl,store_item_demand,Seasonal Naive,service_level,0.619563,fraction,4000 series-origins,06_results/inventory/inventory_by_model.csv,service_level,FINAL,4.8,T-07,avg_inv=45.75 reorders=23.10
INV-store_item_demand-TES-cost,store_item_demand,TES,total_cost,3419.879493,cost-units,4000 series-origins,06_results/inventory/inventory_by_model.csv,total_cost,FINAL,4.8,T-07,POLICY_DEFAULT L7/95%/H1/P5; hold=2485.65 short=934.23
INV-store_item_demand-TES-sl,store_item_demand,TES,service_level,0.69067,fraction,4000 series-origins,06_results/inventory/inventory_by_model.csv,service_level,FINAL,4.8,T-07,avg_inv=88.77 reorders=22.06
PW-COUNT,both,all,n_pairs,91.0,count,paired forecast errors,06_results/statistical_tests/pairwise_tests.csv,,FINAL,4.5,App-F,91 pairs (55 M5 + 36 Store); Wilcoxon+DM+Holm+bootstrap500+dz+r
SPOT-m5-LSTM-vs-TSB-dz,m5,LSTM vs TSB,cohen_dz,-0.031191,,n=112000,06_results/statistical_tests/pairwise_tests.csv,cohen_dz,FINAL,4.4/4.5,T-05,"Holm p=2.02e-10 r=-0.020 CI=[-0.0244,-0.0168]"
SPOT-m5-LSTM-vs-Moving Average-dz,m5,LSTM vs Moving Average,cohen_dz,-0.015383,,n=112000,06_results/statistical_tests/pairwise_tests.csv,cohen_dz,FINAL,4.4/4.5,T-05,"Holm p=1.78e-03 r=-0.010 CI=[-0.0144,-0.0066]"
SPOT-m5-LSTM-vs-SES-dz,m5,LSTM vs SES,cohen_dz,-0.014177,,n=112000,06_results/statistical_tests/pairwise_tests.csv,cohen_dz,FINAL,4.4/4.5,T-05,"Holm p=5.11e-04 r=-0.011 CI=[-0.0128,-0.0051]"
SPOT-store_item_demand-LSTM-vs-Moving Average-dz,store_item_demand,LSTM vs Moving Average,cohen_dz,-0.294784,,n=112000,06_results/statistical_tests/pairwise_tests.csv,cohen_dz,FINAL,4.4/4.5,T-05,"Holm p=0.00e+00 r=-0.282 CI=[-1.8683,-1.8002]"
SPOT-store_item_demand-LSTM-vs-SARIMA-dz,store_item_demand,LSTM vs SARIMA,cohen_dz,-0.117944,,n=112000,06_results/statistical_tests/pairwise_tests.csv,cohen_dz,FINAL,4.4/4.5,T-05,"Holm p=0.00e+00 r=-0.128 CI=[-0.5993,-0.5485]"
SPOT-store_item_demand-LSTM-vs-SES-dz,store_item_demand,LSTM vs SES,cohen_dz,-0.335749,,n=112000,06_results/statistical_tests/pairwise_tests.csv,cohen_dz,FINAL,4.4/4.5,T-05,"Holm p=0.00e+00 r=-0.311 CI=[-2.0854,-2.0138]"
SPOT-m5-Moving Average-vs-SES-dz,m5,Moving Average vs SES,cohen_dz,0.0057,,n=112000,06_results/statistical_tests/pairwise_tests.csv,cohen_dz,FINAL,4.4/4.5,T-05,"Holm p=1.75e-12 r=-0.022 CI=[-0.0001,0.0030]"
SENS-m5-LSTM-wins,m5,LSTM,n_policy_wins,25.0,policies,27 policies,06_results/sensitivity/sensitivity_grid.csv,total_cost,FINAL,4.16,T-08,"grid L{3,7,14}xsvc{.90,.95,.99}xP{3,5,10},H=1"
SENS-m5-SES-wins,m5,SES,n_policy_wins,2.0,policies,27 policies,06_results/sensitivity/sensitivity_grid.csv,total_cost,FINAL,4.16,T-08,"grid L{3,7,14}xsvc{.90,.95,.99}xP{3,5,10},H=1"
SENS-store_item_demand-Moving Average-wins,store_item_demand,Moving Average,n_policy_wins,9.0,policies,27 policies,06_results/sensitivity/sensitivity_grid.csv,total_cost,FINAL,4.16,T-08,"grid L{3,7,14}xsvc{.90,.95,.99}xP{3,5,10},H=1"
SENS-store_item_demand-SES-wins,store_item_demand,SES,n_policy_wins,7.0,policies,27 policies,06_results/sensitivity/sensitivity_grid.csv,total_cost,FINAL,4.16,T-08,"grid L{3,7,14}xsvc{.90,.95,.99}xP{3,5,10},H=1"
SENS-store_item_demand-Naive-wins,store_item_demand,Naive,n_policy_wins,6.0,policies,27 policies,06_results/sensitivity/sensitivity_grid.csv,total_cost,FINAL,4.16,T-08,"grid L{3,7,14}xsvc{.90,.95,.99}xP{3,5,10},H=1"
SENS-store_item_demand-DES-wins,store_item_demand,DES,n_policy_wins,5.0,policies,27 policies,06_results/sensitivity/sensitivity_grid.csv,total_cost,FINAL,4.16,T-08,"grid L{3,7,14}xsvc{.90,.95,.99}xP{3,5,10},H=1"
ARCH-Highly Intermittent-bestMAE,m5,LSTM,MAE,0.416435,units,n=194 series,06_results/archetype_comparison/archetype_metrics.csv,MAE,FINAL,4.11,App-G,pooled WAPE/sMAPE
ARCH-Intermittent-bestMAE,m5,LSTM,MAE,0.989084,units,n=199 series,06_results/archetype_comparison/archetype_metrics.csv,MAE,FINAL,4.11,App-G,pooled WAPE/sMAPE
ARCH-Moderate-bestMAE,m5,SES,MAE,2.633708,units,n=26 series,06_results/archetype_comparison/archetype_metrics.csv,MAE,FINAL,4.11,App-G,pooled WAPE/sMAPE
ARCH-Smooth-bestMAE,m5,LSTM,MAE,2.358068,units,n=1 series,06_results/archetype_comparison/archetype_metrics.csv,MAE,FINAL,4.11,App-G,pooled WAPE/sMAPE; Smooth n=1 ANECDOTAL
ARCH-Variable-bestMAE,m5,SES,MAE,1.799179,units,n=80 series,06_results/archetype_comparison/archetype_metrics.csv,MAE,FINAL,4.11,App-G,pooled WAPE/sMAPE
ARCH-COUNT,m5,all,n_rows,55.0,rows,11 models x 5 archetypes,06_results/archetype_comparison/archetype_metrics.csv,,FINAL,4.11,App-G,M5 only
CONV-store_item_demand-SARIMA,store_item_demand,SARIMA,fallback_pct,0.0,pct,n=4000 fits,06_results/arima/convergence_report.csv,fallback_pct,FINAL,4.18,T-09,scope=full500_primary fails=0 fb=0
CONV-m5-ARIMA,m5,ARIMA,fallback_pct,22.65,pct,n=3094 fits,06_results/arima/convergence_report.csv,fallback_pct,FINAL,4.18,T-09,scope=subset100_exploratory fails=0 fb=906
CONV-store_item_demand-ARIMA,store_item_demand,ARIMA,fallback_pct,0.0,pct,n=4000 fits,06_results/arima/convergence_report.csv,fallback_pct,FINAL,4.18,T-09,scope=subset100_exploratory fails=0 fb=0
CONV-store_item_demand-SARIMA,store_item_demand,SARIMA,fallback_pct,0.0,pct,n=800 fits,06_results/arima/convergence_report.csv,fallback_pct,FINAL,4.18,T-09,scope=subset100_exploratory fails=0 fb=0
PROTO-train,,,days,1034.0,days,common window,05_experiments/config.json,,FINAL,2.3,T-01,2013-01-01..2015-10-31
PROTO-val,,,days,121.0,days,common window,05_experiments/config.json,,FINAL,2.3,T-01,2015-11-01..2016-02-29 incl leap day
PROTO-test,,,days,83.0,days,common window,05_experiments/config.json,,FINAL,2.3,T-01,2016-03-01..2016-05-22; 8 weekly origins H28 seed42
